tenant,entity_type,count,source
bertrand,storyline,14,generation
hugesmoothtech,storyline,10,generation
onedaydynasty,storyline,1,generation
staff,storyline,14,generation
zai,storyline,31,generation
bertrand,email,132,generation
hugesmoothtech,email,100,generation
onedaydynasty,email,6,generation
staff,email,120,generation
zai,email,298,generation
bertrand,chat,56,generation
hugesmoothtech,chat,54,generation
onedaydynasty,chat,3,generation
staff,chat,41,generation
zai,chat,140,generation
bertrand,group_chat,49,generation
hugesmoothtech,group_chat,49,generation
onedaydynasty,group_chat,2,generation
staff,group_chat,48,generation
zai,group_chat,137,generation
bertrand,meeting,69,generation
hugesmoothtech,meeting,51,generation
onedaydynasty,meeting,4,generation
staff,meeting,70,generation
zai,meeting,164,generation
bertrand,file,70,generation
hugesmoothtech,file,55,generation
onedaydynasty,file,5,generation
staff,file,70,generation
zai,file,164,generation
bertrand,user,10,generation
hugesmoothtech,user,40,generation
onedaydynasty,user,5,generation
staff,user,20,generation
zai,user,40,generation
bertrand,email,172,eval
hugesmoothtech,email,166,eval
onedaydynasty,email,63,eval
staff,email,202,eval
zai,email,213,eval
bertrand,file,91,eval
hugesmoothtech,file,87,eval
onedaydynasty,file,55,eval
staff,file,101,eval
zai,file,108,eval
bertrand,meeting,66,eval
hugesmoothtech,meeting,58,eval
onedaydynasty,meeting,42,eval
staff,meeting,63,eval
zai,meeting,101,eval
bertrand,group_chat,38,eval
hugesmoothtech,group_chat,45,eval
onedaydynasty,group_chat,26,eval
staff,group_chat,45,eval
zai,group_chat,56,eval
bertrand,chat,34,eval
hugesmoothtech,chat,31,eval
onedaydynasty,chat,22,eval
staff,chat,28,eval
zai,chat,40,eval
