tenant,channel,gamma,r2
bertrand-and-co.-20260407,email,1.814,0.918
bertrand-and-co.-20260407,chat,1.695,0.975
bertrand-and-co.-20260407,group_chat,2.445,0.951
bertrand-and-co.-20260407,meeting,2.108,0.885
hugesmoothtech-corp-20260404,email,1.876,0.936
hugesmoothtech-corp-20260404,chat,1.223,0.957
hugesmoothtech-corp-20260404,group_chat,2.083,0.927
hugesmoothtech-corp-20260404,meeting,2.282,0.924
onedaydynasty-corp-20260406,email,,
onedaydynasty-corp-20260406,chat,,
onedaydynasty-corp-20260406,group_chat,10.399,0.611
onedaydynasty-corp-20260406,meeting,0.73,0.0
staff-office-the-university-of-cambford-20260407,email,3.219,0.879
staff-office-the-university-of-cambford-20260407,chat,1.258,0.973
staff-office-the-university-of-cambford-20260407,group_chat,2.523,0.972
staff-office-the-university-of-cambford-20260407,meeting,2.862,0.911
zai-intelligence-20260408,email,0.786,0.838
zai-intelligence-20260408,chat,1.131,0.835
zai-intelligence-20260408,group_chat,1.026,0.778
zai-intelligence-20260408,meeting,1.494,0.833
