tenant,channel,sender,iet_seconds
bertrand-and-co.-20260407,email,whuang,91800.0
bertrand-and-co.-20260407,email,whuang,9000.0
bertrand-and-co.-20260407,email,whuang,354600.0
bertrand-and-co.-20260407,email,whuang,150300.0
bertrand-and-co.-20260407,email,whuang,87300.0
bertrand-and-co.-20260407,email,whuang,88200.0
bertrand-and-co.-20260407,email,whuang,85500.0
bertrand-and-co.-20260407,email,whuang,93600.0
bertrand-and-co.-20260407,email,whuang,103500.0
bertrand-and-co.-20260407,email,mkabongo,84600.0
bertrand-and-co.-20260407,email,mkabongo,176400.0
bertrand-and-co.-20260407,email,mkabongo,87300.0
bertrand-and-co.-20260407,email,mkabongo,171900.0
bertrand-and-co.-20260407,email,mkabongo,10800.0
bertrand-and-co.-20260407,email,mkabongo,75600.0
bertrand-and-co.-20260407,email,mkabongo,88200.0
bertrand-and-co.-20260407,email,mkabongo,91800.0
bertrand-and-co.-20260407,email,mkabongo,88200.0
bertrand-and-co.-20260407,email,mkabongo,173700.0
bertrand-and-co.-20260407,email,mkabongo,83700.0
bertrand-and-co.-20260407,email,anasser,252900.0
bertrand-and-co.-20260407,email,anasser,13500.0
bertrand-and-co.-20260407,email,anasser,72900.0
bertrand-and-co.-20260407,email,anasser,24300.0
bertrand-and-co.-20260407,email,anasser,64800.0
bertrand-and-co.-20260407,email,anasser,194400.0
bertrand-and-co.-20260407,email,anasser,64800.0
bertrand-and-co.-20260407,email,anasser,88200.0
bertrand-and-co.-20260407,email,anasser,100800.0
bertrand-and-co.-20260407,email,anasser,70500.0
bertrand-and-co.-20260407,email,anasser,14100.0
bertrand-and-co.-20260407,email,anasser,155700.0
bertrand-and-co.-20260407,email,yjensen,79200.0
bertrand-and-co.-20260407,email,yjensen,6300.0
bertrand-and-co.-20260407,email,yjensen,99000.0
bertrand-and-co.-20260407,email,yjensen,171000.0
bertrand-and-co.-20260407,email,yjensen,77400.0
bertrand-and-co.-20260407,email,yjensen,27000.0
bertrand-and-co.-20260407,email,yjensen,136800.0
bertrand-and-co.-20260407,email,yjensen,17100.0
bertrand-and-co.-20260407,email,yjensen,15300.0
bertrand-and-co.-20260407,email,yjensen,55800.0
bertrand-and-co.-20260407,email,yjensen,12600.0
bertrand-and-co.-20260407,email,yjensen,82800.0
bertrand-and-co.-20260407,email,yjensen,14400.0
bertrand-and-co.-20260407,email,yjensen,65700.0
bertrand-and-co.-20260407,email,yjensen,8100.0
bertrand-and-co.-20260407,email,yjensen,74700.0
bertrand-and-co.-20260407,email,yjensen,8100.0
bertrand-and-co.-20260407,email,yjensen,97200.0
bertrand-and-co.-20260407,email,yjensen,12600.0
bertrand-and-co.-20260407,email,yjensen,64800.0
bertrand-and-co.-20260407,email,jmukherjee,88200.0
bertrand-and-co.-20260407,email,jmukherjee,78300.0
bertrand-and-co.-20260407,email,jmukherjee,88200.0
bertrand-and-co.-20260407,email,jmukherjee,168300.0
bertrand-and-co.-20260407,email,jmukherjee,86400.0
bertrand-and-co.-20260407,email,jmukherjee,518400.0
bertrand-and-co.-20260407,email,lpatel,91800.0
bertrand-and-co.-20260407,email,lpatel,87300.0
bertrand-and-co.-20260407,email,lpatel,170100.0
bertrand-and-co.-20260407,email,lpatel,66600.0
bertrand-and-co.-20260407,email,lpatel,36900.0
bertrand-and-co.-20260407,email,lpatel,153900.0
bertrand-and-co.-20260407,email,lpatel,81000.0
bertrand-and-co.-20260407,email,lpatel,99000.0
bertrand-and-co.-20260407,email,lpatel,73800.0
bertrand-and-co.-20260407,email,lpatel,100800.0
bertrand-and-co.-20260407,email,tkimura,88200.0
bertrand-and-co.-20260407,email,tkimura,72900.0
bertrand-and-co.-20260407,email,tkimura,9900.0
bertrand-and-co.-20260407,email,tkimura,83700.0
bertrand-and-co.-20260407,email,tkimura,89100.0
bertrand-and-co.-20260407,email,tkimura,12600.0
bertrand-and-co.-20260407,email,tkimura,85500.0
bertrand-and-co.-20260407,email,tkimura,77400.0
bertrand-and-co.-20260407,email,tkimura,90900.0
bertrand-and-co.-20260407,email,tkimura,84600.0
bertrand-and-co.-20260407,email,tkimura,78300.0
bertrand-and-co.-20260407,email,tkimura,13500.0
bertrand-and-co.-20260407,email,tkimura,75600.0
bertrand-and-co.-20260407,email,tkimura,86400.0
bertrand-and-co.-20260407,email,tkimura,81000.0
bertrand-and-co.-20260407,email,tkimura,16200.0
bertrand-and-co.-20260407,email,tkimura,77400.0
bertrand-and-co.-20260407,email,mschmidt,82800.0
bertrand-and-co.-20260407,email,mschmidt,84600.0
bertrand-and-co.-20260407,email,mschmidt,81000.0
bertrand-and-co.-20260407,email,mschmidt,14400.0
bertrand-and-co.-20260407,email,mschmidt,72000.0
bertrand-and-co.-20260407,email,mschmidt,9000.0
bertrand-and-co.-20260407,email,mschmidt,87300.0
bertrand-and-co.-20260407,email,mschmidt,81900.0
bertrand-and-co.-20260407,email,mschmidt,11700.0
bertrand-and-co.-20260407,email,mschmidt,95400.0
bertrand-and-co.-20260407,email,mschmidt,67500.0
bertrand-and-co.-20260407,email,mschmidt,1800.0
bertrand-and-co.-20260407,email,mschmidt,91800.0
bertrand-and-co.-20260407,email,mschmidt,77400.0
bertrand-and-co.-20260407,email,mschmidt,9000.0
bertrand-and-co.-20260407,email,mschmidt,73800.0
bertrand-and-co.-20260407,email,mschmidt,9900.0
bertrand-and-co.-20260407,email,mschmidt,78300.0
bertrand-and-co.-20260407,email,rgutierrez,178200.0
bertrand-and-co.-20260407,email,rgutierrez,81000.0
bertrand-and-co.-20260407,email,rgutierrez,99000.0
bertrand-and-co.-20260407,email,rgutierrez,79200.0
bertrand-and-co.-20260407,email,rgutierrez,99000.0
bertrand-and-co.-20260407,email,rgutierrez,81000.0
bertrand-and-co.-20260407,email,rgutierrez,84600.0
bertrand-and-co.-20260407,email,rgutierrez,84600.0
bertrand-and-co.-20260407,email,rgutierrez,79200.0
bertrand-and-co.-20260407,email,rgutierrez,104400.0
bertrand-and-co.-20260407,email,rgutierrez,86400.0
bertrand-and-co.-20260407,email,ysilva,523800.0
bertrand-and-co.-20260407,email,it_support,3600.0
bertrand-and-co.-20260407,email,it_support,14400.0
bertrand-and-co.-20260407,email,pr_team,14400.0
bertrand-and-co.-20260407,chat,Yara Jensen,80.0
bertrand-and-co.-20260407,chat,Yara Jensen,50.0
bertrand-and-co.-20260407,chat,Yara Jensen,80.0
bertrand-and-co.-20260407,chat,Yara Jensen,70.0
bertrand-and-co.-20260407,chat,Yara Jensen,60.0
bertrand-and-co.-20260407,chat,Yara Jensen,60.0
bertrand-and-co.-20260407,chat,Yara Jensen,40.0
bertrand-and-co.-20260407,chat,Yara Jensen,154360.0
bertrand-and-co.-20260407,chat,Yara Jensen,120.0
bertrand-and-co.-20260407,chat,Yara Jensen,150.0
bertrand-and-co.-20260407,chat,Yara Jensen,120.0
bertrand-and-co.-20260407,chat,Yara Jensen,90.0
bertrand-and-co.-20260407,chat,Yara Jensen,125.0
bertrand-and-co.-20260407,chat,Yara Jensen,125.0
bertrand-and-co.-20260407,chat,Yara Jensen,80.0
bertrand-and-co.-20260407,chat,Yara Jensen,89865.0
bertrand-and-co.-20260407,chat,Yara Jensen,55.0
bertrand-and-co.-20260407,chat,Yara Jensen,52.0
bertrand-and-co.-20260407,chat,Yara Jensen,45.0
bertrand-and-co.-20260407,chat,Yara Jensen,51.0
bertrand-and-co.-20260407,chat,Yara Jensen,47.0
bertrand-and-co.-20260407,chat,Yara Jensen,45.0
bertrand-and-co.-20260407,chat,Yara Jensen,48.0
bertrand-and-co.-20260407,chat,Yara Jensen,47.0
bertrand-and-co.-20260407,chat,Yara Jensen,30.0
bertrand-and-co.-20260407,chat,Yara Jensen,255105.0
bertrand-and-co.-20260407,chat,Yara Jensen,122.0
bertrand-and-co.-20260407,chat,Yara Jensen,88.0
bertrand-and-co.-20260407,chat,Yara Jensen,70.0
bertrand-and-co.-20260407,chat,Yara Jensen,50.0
bertrand-and-co.-20260407,chat,Yara Jensen,35.0
bertrand-and-co.-20260407,chat,Yara Jensen,45.0
bertrand-and-co.-20260407,chat,Yara Jensen,60.0
bertrand-and-co.-20260407,chat,Yara Jensen,60.0
bertrand-and-co.-20260407,chat,Yara Jensen,85372.0
bertrand-and-co.-20260407,chat,Yara Jensen,98.0
bertrand-and-co.-20260407,chat,Yara Jensen,103.0
bertrand-and-co.-20260407,chat,Yara Jensen,119.0
bertrand-and-co.-20260407,chat,Yara Jensen,88.0
bertrand-and-co.-20260407,chat,Yara Jensen,95.0
bertrand-and-co.-20260407,chat,Yara Jensen,77.0
bertrand-and-co.-20260407,chat,Yara Jensen,53.0
bertrand-and-co.-20260407,chat,Yara Jensen,259268.0
bertrand-and-co.-20260407,chat,Yara Jensen,82.0
bertrand-and-co.-20260407,chat,Yara Jensen,130.0
bertrand-and-co.-20260407,chat,Yara Jensen,75.0
bertrand-and-co.-20260407,chat,Yara Jensen,70.0
bertrand-and-co.-20260407,chat,Yara Jensen,50.0
bertrand-and-co.-20260407,chat,Yara Jensen,70.0
bertrand-and-co.-20260407,chat,Yara Jensen,85.0
bertrand-and-co.-20260407,chat,Yara Jensen,45.0
bertrand-and-co.-20260407,chat,Yara Jensen,85635.0
bertrand-and-co.-20260407,chat,Yara Jensen,60.0
bertrand-and-co.-20260407,chat,Yara Jensen,50.0
bertrand-and-co.-20260407,chat,Yara Jensen,37.0
bertrand-and-co.-20260407,chat,Yara Jensen,28.0
bertrand-and-co.-20260407,chat,Yara Jensen,65.0
bertrand-and-co.-20260407,chat,Yara Jensen,2.0
bertrand-and-co.-20260407,chat,Yara Jensen,45.0
bertrand-and-co.-20260407,chat,Yara Jensen,67.0
bertrand-and-co.-20260407,chat,Yara Jensen,83.0
bertrand-and-co.-20260407,chat,Yara Jensen,133.0
bertrand-and-co.-20260407,chat,Yara Jensen,124.0
bertrand-and-co.-20260407,chat,Yara Jensen,89.0
bertrand-and-co.-20260407,chat,Yara Jensen,86.0
bertrand-and-co.-20260407,chat,Yara Jensen,82.0
bertrand-and-co.-20260407,chat,Yara Jensen,81838.0
bertrand-and-co.-20260407,chat,Yara Jensen,87.0
bertrand-and-co.-20260407,chat,Yara Jensen,61.0
bertrand-and-co.-20260407,chat,Yara Jensen,70.0
bertrand-and-co.-20260407,chat,Yara Jensen,58.0
bertrand-and-co.-20260407,chat,Yara Jensen,94.0
bertrand-and-co.-20260407,chat,Yara Jensen,59.0
bertrand-and-co.-20260407,chat,Yara Jensen,72.0
bertrand-and-co.-20260407,chat,Yara Jensen,75.0
bertrand-and-co.-20260407,chat,Yara Jensen,51.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,129.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,85.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,144.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,151.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,78.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,165.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,147.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,170.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,345.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,12178.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,65.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,40.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,25.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,70.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,70.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,55.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,55.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,220.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,40.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,32.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,38.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,60.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,35.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,40.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,30.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,153955.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,117.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,153.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,85.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,130.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,130.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,90.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,272865.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,55.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,52.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,47.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,51.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,52.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,59.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,54.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,45.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,417982.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,68.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,80.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,80.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,55.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,60.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,60.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,85.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,60.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,2855.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,50.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,97.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,48.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,50.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,60.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,50.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,45.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,50.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,45.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,165142.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,73.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,52.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,78.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,76.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,71.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,69.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,72.0
bertrand-and-co.-20260407,chat,Mosi Kabongo,71.0
bertrand-and-co.-20260407,chat,Wei Huang,32.0
bertrand-and-co.-20260407,chat,Wei Huang,33.0
bertrand-and-co.-20260407,chat,Wei Huang,33.0
bertrand-and-co.-20260407,chat,Wei Huang,24.0
bertrand-and-co.-20260407,chat,Wei Huang,39.0
bertrand-and-co.-20260407,chat,Wei Huang,36.0
bertrand-and-co.-20260407,chat,Wei Huang,38.0
bertrand-and-co.-20260407,chat,Wei Huang,27.0
bertrand-and-co.-20260407,chat,Wei Huang,364483.0
bertrand-and-co.-20260407,chat,Wei Huang,92.0
bertrand-and-co.-20260407,chat,Wei Huang,65.0
bertrand-and-co.-20260407,chat,Wei Huang,80.0
bertrand-and-co.-20260407,chat,Wei Huang,72.0
bertrand-and-co.-20260407,chat,Wei Huang,75.0
bertrand-and-co.-20260407,chat,Wei Huang,68.0
bertrand-and-co.-20260407,chat,Wei Huang,35.0
bertrand-and-co.-20260407,chat,Wei Huang,62570.0
bertrand-and-co.-20260407,chat,Wei Huang,58.0
bertrand-and-co.-20260407,chat,Wei Huang,51.0
bertrand-and-co.-20260407,chat,Wei Huang,44.0
bertrand-and-co.-20260407,chat,Wei Huang,53.0
bertrand-and-co.-20260407,chat,Wei Huang,52.0
bertrand-and-co.-20260407,chat,Wei Huang,57.0
bertrand-and-co.-20260407,chat,Wei Huang,53.0
bertrand-and-co.-20260407,chat,Wei Huang,32.0
bertrand-and-co.-20260407,chat,Wei Huang,504371.0
bertrand-and-co.-20260407,chat,Wei Huang,78.0
bertrand-and-co.-20260407,chat,Wei Huang,114.0
bertrand-and-co.-20260407,chat,Wei Huang,92.0
bertrand-and-co.-20260407,chat,Wei Huang,134.0
bertrand-and-co.-20260407,chat,Wei Huang,126.0
bertrand-and-co.-20260407,chat,Wei Huang,83.0
bertrand-and-co.-20260407,chat,Wei Huang,91.0
bertrand-and-co.-20260407,chat,Wei Huang,82019.0
bertrand-and-co.-20260407,chat,Wei Huang,165.0
bertrand-and-co.-20260407,chat,Wei Huang,60.0
bertrand-and-co.-20260407,chat,Wei Huang,165.0
bertrand-and-co.-20260407,chat,Wei Huang,80.0
bertrand-and-co.-20260407,chat,Wei Huang,70.0
bertrand-and-co.-20260407,chat,Wei Huang,75.0
bertrand-and-co.-20260407,chat,Wei Huang,75.0
bertrand-and-co.-20260407,chat,Wei Huang,75.0
bertrand-and-co.-20260407,chat,markus_schmidt,167.0
bertrand-and-co.-20260407,chat,markus_schmidt,82.0
bertrand-and-co.-20260407,chat,markus_schmidt,201.0
bertrand-and-co.-20260407,chat,markus_schmidt,145.0
bertrand-and-co.-20260407,chat,markus_schmidt,128.0
bertrand-and-co.-20260407,chat,markus_schmidt,122.0
bertrand-and-co.-20260407,chat,markus_schmidt,673145.0
bertrand-and-co.-20260407,chat,markus_schmidt,155.0
bertrand-and-co.-20260407,chat,markus_schmidt,80.0
bertrand-and-co.-20260407,chat,markus_schmidt,170.0
bertrand-and-co.-20260407,chat,markus_schmidt,110.0
bertrand-and-co.-20260407,chat,markus_schmidt,145.0
bertrand-and-co.-20260407,chat,markus_schmidt,190.0
bertrand-and-co.-20260407,chat,markus_schmidt,105.0
bertrand-and-co.-20260407,chat,markus_schmidt,125.0
bertrand-and-co.-20260407,chat,markus_schmidt,85493.0
bertrand-and-co.-20260407,chat,markus_schmidt,77.0
bertrand-and-co.-20260407,chat,markus_schmidt,102.0
bertrand-and-co.-20260407,chat,markus_schmidt,70.0
bertrand-and-co.-20260407,chat,markus_schmidt,66.0
bertrand-and-co.-20260407,chat,markus_schmidt,72.0
bertrand-and-co.-20260407,chat,markus_schmidt,74.0
bertrand-and-co.-20260407,chat,markus_schmidt,61.0
bertrand-and-co.-20260407,chat,markus_schmidt,45.0
bertrand-and-co.-20260407,chat,markus_schmidt,85480.0
bertrand-and-co.-20260407,chat,markus_schmidt,62.0
bertrand-and-co.-20260407,chat,markus_schmidt,51.0
bertrand-and-co.-20260407,chat,markus_schmidt,62.0
bertrand-and-co.-20260407,chat,markus_schmidt,65.0
bertrand-and-co.-20260407,chat,markus_schmidt,49.0
bertrand-and-co.-20260407,chat,markus_schmidt,56.0
bertrand-and-co.-20260407,chat,markus_schmidt,55.0
bertrand-and-co.-20260407,chat,markus_schmidt,48.0
bertrand-and-co.-20260407,chat,markus_schmidt,50.0
bertrand-and-co.-20260407,chat,markus_schmidt,33.0
bertrand-and-co.-20260407,chat,markus_schmidt,85861.0
bertrand-and-co.-20260407,chat,markus_schmidt,63.0
bertrand-and-co.-20260407,chat,markus_schmidt,56.0
bertrand-and-co.-20260407,chat,markus_schmidt,69.0
bertrand-and-co.-20260407,chat,markus_schmidt,75.0
bertrand-and-co.-20260407,chat,markus_schmidt,65.0
bertrand-and-co.-20260407,chat,markus_schmidt,50.0
bertrand-and-co.-20260407,chat,markus_schmidt,54.0
bertrand-and-co.-20260407,chat,markus_schmidt,49.0
bertrand-and-co.-20260407,chat,yara_jensen,139.0
bertrand-and-co.-20260407,chat,yara_jensen,74.0
bertrand-and-co.-20260407,chat,yara_jensen,77.0
bertrand-and-co.-20260407,chat,yara_jensen,166.0
bertrand-and-co.-20260407,chat,yara_jensen,142.0
bertrand-and-co.-20260407,chat,yara_jensen,137.0
bertrand-and-co.-20260407,chat,yara_jensen,115.0
bertrand-and-co.-20260407,chat,yara_jensen,413798.0
bertrand-and-co.-20260407,chat,yara_jensen,192.0
bertrand-and-co.-20260407,chat,yara_jensen,173.0
bertrand-and-co.-20260407,chat,yara_jensen,191.0
bertrand-and-co.-20260407,chat,yara_jensen,169.0
bertrand-and-co.-20260407,chat,yara_jensen,183.0
bertrand-and-co.-20260407,chat,yara_jensen,187.0
bertrand-and-co.-20260407,chat,yara_jensen,177.0
bertrand-and-co.-20260407,chat,yara_jensen,123.0
bertrand-and-co.-20260407,chat,yara_jensen,257805.0
bertrand-and-co.-20260407,chat,yara_jensen,155.0
bertrand-and-co.-20260407,chat,yara_jensen,115.0
bertrand-and-co.-20260407,chat,yara_jensen,130.0
bertrand-and-co.-20260407,chat,yara_jensen,110.0
bertrand-and-co.-20260407,chat,yara_jensen,145.0
bertrand-and-co.-20260407,chat,yara_jensen,115.0
bertrand-and-co.-20260407,chat,yara_jensen,75.0
bertrand-and-co.-20260407,chat,yara_jensen,125.0
bertrand-and-co.-20260407,chat,yara_jensen,130.0
bertrand-and-co.-20260407,chat,yara_jensen,85492.0
bertrand-and-co.-20260407,chat,yara_jensen,93.0
bertrand-and-co.-20260407,chat,yara_jensen,90.0
bertrand-and-co.-20260407,chat,yara_jensen,83.0
bertrand-and-co.-20260407,chat,yara_jensen,67.0
bertrand-and-co.-20260407,chat,yara_jensen,74.0
bertrand-and-co.-20260407,chat,yara_jensen,66.0
bertrand-and-co.-20260407,chat,yara_jensen,67.0
bertrand-and-co.-20260407,chat,yara_jensen,60.0
bertrand-and-co.-20260407,chat,yara_jensen,85462.0
bertrand-and-co.-20260407,chat,yara_jensen,71.0
bertrand-and-co.-20260407,chat,yara_jensen,55.0
