tenant,channel,sender,iet_seconds
hugesmoothtech-corp-20260404,email,tsato,254700.0
hugesmoothtech-corp-20260404,email,tsato,10800.0
hugesmoothtech-corp-20260404,email,tsato,85500.0
hugesmoothtech-corp-20260404,email,tsato,81000.0
hugesmoothtech-corp-20260404,email,tsato,105300.0
hugesmoothtech-corp-20260404,email,tsato,64800.0
hugesmoothtech-corp-20260404,email,tsato,84600.0
hugesmoothtech-corp-20260404,email,tsato,92700.0
hugesmoothtech-corp-20260404,email,mgarcia,84600.0
hugesmoothtech-corp-20260404,email,mgarcia,16200.0
hugesmoothtech-corp-20260404,email,mgarcia,66600.0
hugesmoothtech-corp-20260404,email,mgarcia,91800.0
hugesmoothtech-corp-20260404,email,mgarcia,84600.0
hugesmoothtech-corp-20260404,email,mgarcia,90000.0
hugesmoothtech-corp-20260404,email,mgarcia,12600.0
hugesmoothtech-corp-20260404,email,mgarcia,64800.0
hugesmoothtech-corp-20260404,email,mgarcia,33300.0
hugesmoothtech-corp-20260404,email,mgarcia,56700.0
hugesmoothtech-corp-20260404,email,mgarcia,9000.0
hugesmoothtech-corp-20260404,email,mgarcia,75600.0
hugesmoothtech-corp-20260404,email,mgarcia,19800.0
hugesmoothtech-corp-20260404,email,mgarcia,68400.0
hugesmoothtech-corp-20260404,email,mgarcia,10800.0
hugesmoothtech-corp-20260404,email,rpatel,177300.0
hugesmoothtech-corp-20260404,email,rpatel,88200.0
hugesmoothtech-corp-20260404,email,rpatel,178200.0
hugesmoothtech-corp-20260404,email,rpatel,108000.0
hugesmoothtech-corp-20260404,email,rpatel,55800.0
hugesmoothtech-corp-20260404,email,rpatel,9000.0
hugesmoothtech-corp-20260404,email,rpatel,90000.0
hugesmoothtech-corp-20260404,email,hwang,161100.0
hugesmoothtech-corp-20260404,email,hwang,172800.0
hugesmoothtech-corp-20260404,email,jdubois,98700.0
hugesmoothtech-corp-20260404,email,jdubois,83700.0
hugesmoothtech-corp-20260404,email,jdubois,171000.0
hugesmoothtech-corp-20260404,email,jdubois,342900.0
hugesmoothtech-corp-20260404,email,jdubois,90000.0
hugesmoothtech-corp-20260404,email,msharif,81000.0
hugesmoothtech-corp-20260404,email,msharif,81900.0
hugesmoothtech-corp-20260404,email,msharif,99000.0
hugesmoothtech-corp-20260404,email,msharif,85500.0
hugesmoothtech-corp-20260404,email,msharif,335700.0
hugesmoothtech-corp-20260404,email,msharif,18000.0
hugesmoothtech-corp-20260404,email,msharif,82800.0
hugesmoothtech-corp-20260404,email,ymorales,88200.0
hugesmoothtech-corp-20260404,email,ymorales,79200.0
hugesmoothtech-corp-20260404,email,mabebe,85500.0
hugesmoothtech-corp-20260404,email,mabebe,612000.0
hugesmoothtech-corp-20260404,email,mabebe,58500.0
hugesmoothtech-corp-20260404,email,adubois,82800.0
hugesmoothtech-corp-20260404,email,adubois,84600.0
hugesmoothtech-corp-20260404,email,adubois,12600.0
hugesmoothtech-corp-20260404,email,adubois,91800.0
hugesmoothtech-corp-20260404,email,adubois,68400.0
hugesmoothtech-corp-20260404,email,adubois,9000.0
hugesmoothtech-corp-20260404,email,adubois,85500.0
hugesmoothtech-corp-20260404,email,adubois,8100.0
hugesmoothtech-corp-20260404,email,adubois,12600.0
hugesmoothtech-corp-20260404,email,adubois,55800.0
hugesmoothtech-corp-20260404,email,adubois,9000.0
hugesmoothtech-corp-20260404,email,adubois,9000.0
hugesmoothtech-corp-20260404,email,adubois,79200.0
hugesmoothtech-corp-20260404,email,adubois,84600.0
hugesmoothtech-corp-20260404,email,adubois,1800.0
hugesmoothtech-corp-20260404,email,adubois,9000.0
hugesmoothtech-corp-20260404,email,amustafa,256500.0
hugesmoothtech-corp-20260404,email,lzhang,83700.0
hugesmoothtech-corp-20260404,email,jhassan,84600.0
hugesmoothtech-corp-20260404,email,jhassan,101700.0
hugesmoothtech-corp-20260404,email,jhassan,82800.0
hugesmoothtech-corp-20260404,email,jhassan,73800.0
hugesmoothtech-corp-20260404,email,jhassan,22500.0
hugesmoothtech-corp-20260404,email,jhassan,69300.0
hugesmoothtech-corp-20260404,email,jhassan,91800.0
hugesmoothtech-corp-20260404,email,jhassan,71100.0
hugesmoothtech-corp-20260404,email,jokonkwo,96300.0
hugesmoothtech-corp-20260404,email,jokonkwo,79200.0
hugesmoothtech-corp-20260404,email,jokonkwo,172800.0
hugesmoothtech-corp-20260404,email,rchowdhury,162900.0
hugesmoothtech-corp-20260404,chat,mariana_garcia,52.0
