tenant,channel,num_events,num_senders,num_iets,mean_iet_s,median_iet_s,std_iet_s,burstiness,memory,powerlaw_alpha,powerlaw_r2,lognormal_mu,lognormal_sigma,lognormal_ks_p
bertrand-and-co.-20260407,email,132,12,118,86384.7,81450.0,77939.5,-0.0514,-0.0544,1.998,0.93,10.98,1.012,0.0
bertrand-and-co.-20260407,chat,1022,19,1003,14506.6,72.0,61319.9,0.6174,-0.0553,0.33,0.81,4.955,2.153,0.0
bertrand-and-co.-20260407,group_chat,2291,26,2257,9545.2,120.0,33793.6,0.5595,-0.0775,0.357,0.83,5.446,2.302,0.0
bertrand-and-co.-20260407,meeting,277,10,267,42067.4,21600.0,42166.9,0.0012,0.1659,1.672,0.681,10.073,1.136,0.0
hugesmoothtech-corp-20260404,email,100,14,79,91784.8,82800.0,88273.2,-0.0195,0.0185,1.764,0.944,11.009,1.042,0.0042
hugesmoothtech-corp-20260404,chat,970,45,924,11929.8,70.0,60466.3,0.6704,-0.0385,0.358,0.772,4.71,1.911,0.0
hugesmoothtech-corp-20260404,group_chat,1997,77,1914,18113.0,147.0,57594.2,0.5215,-0.0852,0.317,0.797,5.888,2.502,0.0
hugesmoothtech-corp-20260404,meeting,272,31,236,85400.8,75600.0,85009.4,-0.0023,0.1971,1.849,0.945,10.832,1.151,0.0
onedaydynasty-corp-20260406,email,6,1,1,13500.0,13500.0,0.0,-1.0,0.0,,,,,
onedaydynasty-corp-20260406,chat,40,4,36,75.0,69.5,49.7,-0.2025,0.0392,1.995,0.946,4.07,0.807,0.0176
onedaydynasty-corp-20260406,group_chat,92,8,83,424.9,93.0,1621.0,0.5846,-0.0471,0.734,0.909,4.703,1.128,0.4619
onedaydynasty-corp-20260406,meeting,8,3,3,8400.0,3600.0,6788.2,-0.1061,0.0,0.557,0.867,,,
staff-office-the-university-of-cambford-20260407,email,120,15,102,113497.1,85500.0,129162.8,0.0646,-0.0445,1.489,0.941,10.878,1.515,0.0
staff-office-the-university-of-cambford-20260407,chat,732,28,704,19015.3,90.0,86732.1,0.6404,-0.0476,0.352,0.835,5.151,2.078,0.0
staff-office-the-university-of-cambford-20260407,group_chat,2075,40,2033,13423.4,110.0,49744.6,0.575,-0.0715,0.341,0.833,5.388,2.327,0.0
staff-office-the-university-of-cambford-20260407,meeting,207,19,188,95725.5,80100.0,109319.4,0.0663,0.1466,1.561,0.934,10.877,1.238,0.0
zai-intelligence-20260408,email,298,21,271,137905.9,82800.0,193621.6,0.1681,0.3951,1.28,0.949,11.137,1.288,0.0002
zai-intelligence-20260408,chat,2581,57,2515,20470.4,77.0,99049.0,0.6575,-0.0424,0.326,0.804,4.934,2.219,0.0
zai-intelligence-20260408,group_chat,6033,92,5915,22976.5,150.0,96039.9,0.6139,-0.0545,0.314,0.797,5.923,2.601,0.0
zai-intelligence-20260408,meeting,799,33,757,90280.6,72000.0,144074.3,0.2295,0.1928,1.621,0.975,10.727,1.245,0.0
