tenant,channel,sender,iet_seconds
onedaydynasty-corp-20260406,email,yzhang,13500.0
onedaydynasty-corp-20260406,chat,yun_zhang,4.0
onedaydynasty-corp-20260406,chat,yun_zhang,100.0
onedaydynasty-corp-20260406,chat,yun_zhang,17.0
onedaydynasty-corp-20260406,chat,yun_zhang,35.0
onedaydynasty-corp-20260406,chat,yun_zhang,20.0
onedaydynasty-corp-20260406,chat,yun_zhang,51.0
onedaydynasty-corp-20260406,chat,yun_zhang,12.0
onedaydynasty-corp-20260406,chat,yun_zhang,125.0
onedaydynasty-corp-20260406,chat,yun_zhang,60.0
onedaydynasty-corp-20260406,chat,yun_zhang,30.0
onedaydynasty-corp-20260406,chat,yun_zhang,10.0
onedaydynasty-corp-20260406,chat,yun_zhang,55.0
onedaydynasty-corp-20260406,chat,yun_zhang,65.0
onedaydynasty-corp-20260406,chat,yun_zhang,55.0
onedaydynasty-corp-20260406,chat,yun_zhang,133.0
onedaydynasty-corp-20260406,chat,yun_zhang,69.0
onedaydynasty-corp-20260406,chat,kiran_patel,68.0
onedaydynasty-corp-20260406,chat,kiran_patel,180.0
onedaydynasty-corp-20260406,chat,kiran_patel,90.0
onedaydynasty-corp-20260406,chat,kiran_patel,82.0
onedaydynasty-corp-20260406,chat,kiran_patel,58.0
onedaydynasty-corp-20260406,chat,kiran_patel,70.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,66.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,75.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,167.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,68.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,268.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,77.0
onedaydynasty-corp-20260406,chat,alessandro_rossi,65.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,chat,Yun Zhang,75.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,60.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,30.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,55.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,15.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,80.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,35.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,70.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,40.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,10430.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,90.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,104.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,56.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,157.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,80.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,63.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,105.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,75.0
onedaydynasty-corp-20260406,group_chat,Kiran Patel,60.0
onedaydynasty-corp-20260406,group_chat,Nour Haddad,30.0
onedaydynasty-corp-20260406,group_chat,Nour Haddad,60.0
onedaydynasty-corp-20260406,group_chat,Nour Haddad,25.0
onedaydynasty-corp-20260406,group_chat,Nour Haddad,45.0
