tenant,channel,sender,iet_seconds
staff-office-the-university-of-cambford-20260407,email,smensah,7200.0
staff-office-the-university-of-cambford-20260407,email,smensah,163800.0
staff-office-the-university-of-cambford-20260407,email,smensah,85500.0
staff-office-the-university-of-cambford-20260407,email,smensah,2700.0
staff-office-the-university-of-cambford-20260407,email,smensah,1800.0
staff-office-the-university-of-cambford-20260407,email,smensah,90000.0
staff-office-the-university-of-cambford-20260407,email,smensah,596700.0
staff-office-the-university-of-cambford-20260407,email,smensah,175500.0
staff-office-the-university-of-cambford-20260407,email,smensah,5400.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,12600.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,75600.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,9000.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,76500.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,88200.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,92700.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,168300.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,170100.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,5400.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,167400.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,86400.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,82800.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,10800.0
staff-office-the-university-of-cambford-20260407,email,lhaddad,79200.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,7200.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,81000.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,85500.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,180000.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,72000.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,177300.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,81900.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,9900.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,253800.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,91800.0
staff-office-the-university-of-cambford-20260407,email,ktanaka,83700.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,89100.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,77400.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,84600.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,4500.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,87300.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,3600.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,172800.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,88200.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,88200.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,166500.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,78300.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,12600.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,161100.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,3600.0
staff-office-the-university-of-cambford-20260407,email,cnguyen,7200.0
staff-office-the-university-of-cambford-20260407,email,mgarcia,7200.0
staff-office-the-university-of-cambford-20260407,email,mgarcia,86400.0
staff-office-the-university-of-cambford-20260407,email,mgarcia,67500.0
staff-office-the-university-of-cambford-20260407,email,mgarcia,6300.0
staff-office-the-university-of-cambford-20260407,email,mgarcia,856800.0
staff-office-the-university-of-cambford-20260407,email,drossi,75600.0
staff-office-the-university-of-cambford-20260407,email,drossi,5400.0
staff-office-the-university-of-cambford-20260407,email,drossi,7200.0
staff-office-the-university-of-cambford-20260407,email,drossi,159300.0
staff-office-the-university-of-cambford-20260407,email,drossi,4500.0
staff-office-the-university-of-cambford-20260407,email,drossi,85500.0
staff-office-the-university-of-cambford-20260407,email,drossi,81000.0
staff-office-the-university-of-cambford-20260407,email,drossi,91800.0
staff-office-the-university-of-cambford-20260407,email,drossi,186300.0
staff-office-the-university-of-cambford-20260407,email,drossi,240300.0
staff-office-the-university-of-cambford-20260407,email,drossi,90900.0
staff-office-the-university-of-cambford-20260407,email,mzhang,88200.0
staff-office-the-university-of-cambford-20260407,email,mzhang,4500.0
staff-office-the-university-of-cambford-20260407,email,mzhang,431100.0
staff-office-the-university-of-cambford-20260407,email,mzhang,86400.0
staff-office-the-university-of-cambford-20260407,email,mzhang,167400.0
staff-office-the-university-of-cambford-20260407,email,mzhang,900.0
staff-office-the-university-of-cambford-20260407,email,mzhang,5400.0
staff-office-the-university-of-cambford-20260407,email,mzhang,179100.0
staff-office-the-university-of-cambford-20260407,email,jokonkwo,333000.0
staff-office-the-university-of-cambford-20260407,email,jokonkwo,181800.0
staff-office-the-university-of-cambford-20260407,email,jokonkwo,81000.0
staff-office-the-university-of-cambford-20260407,email,jokonkwo,262800.0
staff-office-the-university-of-cambford-20260407,email,jokonkwo,82800.0
