tenant,channel,sender,iet_seconds
zai-intelligence-20260408,email,arendón,108900.0
zai-intelligence-20260408,email,arendón,153000.0
zai-intelligence-20260408,email,arendón,10800.0
zai-intelligence-20260408,email,arendón,347400.0
zai-intelligence-20260408,email,arendón,78300.0
zai-intelligence-20260408,email,arendón,94500.0
zai-intelligence-20260408,email,arendón,71100.0
zai-intelligence-20260408,email,arendón,258300.0
zai-intelligence-20260408,email,arendón,136800.0
zai-intelligence-20260408,email,arendón,39600.0
zai-intelligence-20260408,email,arendón,346500.0
zai-intelligence-20260408,email,arendón,94500.0
zai-intelligence-20260408,email,arendón,10800.0
zai-intelligence-20260408,email,arendón,153900.0
zai-intelligence-20260408,email,arendón,172800.0
zai-intelligence-20260408,email,arendón,172500.0
zai-intelligence-20260408,email,arendón,84000.0
zai-intelligence-20260408,email,arendón,90000.0
zai-intelligence-20260408,email,arendón,102600.0
zai-intelligence-20260408,email,kpetrov,261000.0
zai-intelligence-20260408,email,kpetrov,269100.0
zai-intelligence-20260408,email,kpetrov,83700.0
zai-intelligence-20260408,email,kpetrov,341100.0
zai-intelligence-20260408,email,kpetrov,694800.0
zai-intelligence-20260408,email,kpetrov,342900.0
zai-intelligence-20260408,email,kpetrov,441000.0
zai-intelligence-20260408,email,kpetrov,6300.0
zai-intelligence-20260408,email,mcarvalho,100800.0
zai-intelligence-20260408,email,mcarvalho,9000.0
zai-intelligence-20260408,email,mcarvalho,86400.0
zai-intelligence-20260408,email,mcarvalho,68400.0
zai-intelligence-20260408,email,mcarvalho,111600.0
zai-intelligence-20260408,email,mcarvalho,7200.0
zai-intelligence-20260408,email,mcarvalho,234000.0
zai-intelligence-20260408,email,mcarvalho,86400.0
zai-intelligence-20260408,email,mcarvalho,75600.0
zai-intelligence-20260408,email,mcarvalho,84600.0
zai-intelligence-20260408,email,mcarvalho,271800.0
zai-intelligence-20260408,email,mcarvalho,108000.0
zai-intelligence-20260408,email,mcarvalho,57600.0
zai-intelligence-20260408,email,mcarvalho,21600.0
zai-intelligence-20260408,email,mcarvalho,66600.0
zai-intelligence-20260408,email,mcarvalho,25200.0
zai-intelligence-20260408,email,mcarvalho,70200.0
zai-intelligence-20260408,email,mcarvalho,66600.0
zai-intelligence-20260408,email,mcarvalho,14400.0
zai-intelligence-20260408,email,mcarvalho,86400.0
zai-intelligence-20260408,email,mcarvalho,9000.0
zai-intelligence-20260408,email,mcarvalho,64800.0
zai-intelligence-20260408,email,mcarvalho,5400.0
zai-intelligence-20260408,email,mcarvalho,5400.0
zai-intelligence-20260408,email,mcarvalho,3600.0
