agent,tenant,n,agent_model,agent_in,agent_out,judge_in,judge_out,agent_usd,judge_usd,total_usd,usd_per_100_cases
react_v1,bertrand-and-co.-20260407,162,gpt-4o,3417990,95418,332800,33280,9.4992,1.1648,10.664,6.5827
react_v1,onedaydynasty-corp-20260406,63,gpt-4o,730189,35572,149600,14960,2.1812,0.5236,2.7048,4.2933
react_v1,staff-office-the-university-of-cambford-20260407,162,gpt-4o,2922792,66729,362400,36240,7.9743,1.2684,9.2427,5.7054
react_v1,zai-intelligence-20260408,201,gpt-4o,4096975,99563,392799,39280,11.2381,1.3748,12.6129,6.2751
react_v2,bertrand-and-co.-20260407,162,gpt-4o,2850416,87690,332800,33280,8.0029,1.1648,9.1677,5.6591
react_v2,staff-office-the-university-of-cambford-20260407,162,gpt-4o,2817054,59336,362400,36240,7.636,1.2684,8.9044,5.4965
react_v2,zai-intelligence-20260408,201,gpt-4o,3297921,87672,392799,39280,9.1215,1.3748,10.4963,5.222
researcher,bertrand-and-co.-20260407,162,gpt-4o-mini,12841294,109735,331200,33120,1.992,1.1592,3.1512,1.9452
researcher,staff-office-the-university-of-cambford-20260407,162,gpt-4o-mini,12627573,85771,360000,36000,1.9456,1.26,3.2056,1.9788
researcher,zai-intelligence-20260408,201,gpt-4o-mini,16438862,114114,392799,39280,2.5343,1.3748,3.9091,1.9448
baseline,bertrand-and-co.-20260407,162,gpt-4o-mini,5379293,64229,331200,33120,0.8454,1.1592,2.0046,1.2374
baseline,staff-office-the-university-of-cambford-20260407,162,gpt-4o-mini,4060483,52131,357600,35760,0.6404,1.2516,1.892,1.1679
baseline,zai-intelligence-20260408,201,gpt-4o-mini,7199082,70057,390400,39040,1.1219,1.3664,2.4883,1.238
react_v3,bertrand-and-co.-20260407,162,gpt-4o-mini,4824510,89338,326400,32640,0.7773,1.1424,1.9197,1.185
react_v3,staff-office-the-university-of-cambford-20260407,162,gpt-4o-mini,3783046,75765,360000,36000,0.6129,1.26,1.8729,1.1561
react_v3,zai-intelligence-20260408,201,gpt-4o-mini,5772969,99742,392000,39200,0.9258,1.372,2.2978,1.1432
