agent_a,agent_b,tenant,n_matched,pass_a,pass_b,wilcoxon_stat,p_value
react_v1,react_v2,bertrand-and-co.-20260407,162,0.4136,0.2593,264.0,0.000266
react_v1,react_v2,zai-intelligence-20260408,201,0.2687,0.1542,108.0,0.000101
react_v1,react_v2,staff-office-the-university-of-cambford-20260407,162,0.2284,0.2222,182.0,0.84739
react_v1,researcher,bertrand-and-co.-20260407,162,0.4136,0.4321,675.0,0.68028
react_v1,researcher,zai-intelligence-20260408,201,0.2687,0.2886,586.5,0.571608
react_v1,researcher,staff-office-the-university-of-cambford-20260407,162,0.2284,0.3457,336.0,0.005581
react_v1,baseline,bertrand-and-co.-20260407,162,0.4136,0.3025,747.5,0.024449
react_v1,baseline,zai-intelligence-20260408,201,0.2687,0.209,399.5,0.076843
react_v1,baseline,staff-office-the-university-of-cambford-20260407,162,0.2284,0.2222,342.0,0.869417
react_v1,react_v3,bertrand-and-co.-20260407,162,0.4136,0.3951,575.0,0.668235
react_v1,react_v3,zai-intelligence-20260408,201,0.2687,0.3632,171.0,0.001787
react_v1,react_v3,staff-office-the-university-of-cambford-20260407,162,0.2284,0.2963,391.0,0.10105
react_v2,researcher,bertrand-and-co.-20260407,162,0.2593,0.4321,280.5,7.5e-05
react_v2,researcher,zai-intelligence-20260408,201,0.1542,0.2886,207.0,5.7e-05
react_v2,researcher,staff-office-the-university-of-cambford-20260407,162,0.2222,0.3457,175.5,0.001177
react_v2,baseline,bertrand-and-co.-20260407,162,0.2593,0.3025,672.0,0.345231
react_v2,baseline,zai-intelligence-20260408,201,0.1542,0.209,475.0,0.116083
react_v2,baseline,staff-office-the-university-of-cambford-20260407,162,0.2222,0.2222,333.0,1.0
react_v2,react_v3,bertrand-and-co.-20260407,162,0.2593,0.3951,579.5,0.004509
react_v2,react_v3,zai-intelligence-20260408,201,0.1542,0.3632,199.5,0.0
react_v2,react_v3,staff-office-the-university-of-cambford-20260407,162,0.2222,0.2963,165.0,0.033895
researcher,baseline,bertrand-and-co.-20260407,162,0.4321,0.3025,522.0,0.005411
researcher,baseline,zai-intelligence-20260408,201,0.2886,0.209,522.5,0.029456
researcher,baseline,staff-office-the-university-of-cambford-20260407,162,0.3457,0.2222,424.0,0.005546
researcher,react_v3,bertrand-and-co.-20260407,162,0.4321,0.3951,609.5,0.405381
researcher,react_v3,zai-intelligence-20260408,201,0.2886,0.3632,425.0,0.032125
researcher,react_v3,staff-office-the-university-of-cambford-20260407,162,0.3457,0.2963,259.0,0.182422
baseline,react_v3,bertrand-and-co.-20260407,162,0.3025,0.3951,468.0,0.035692
baseline,react_v3,zai-intelligence-20260408,201,0.209,0.3632,225.0,9e-06
baseline,react_v3,staff-office-the-university-of-cambford-20260407,162,0.2222,0.2963,399.5,0.076843
