agent,tenant,tau_assertion,rc_gate,n,pass_rate
react_v1,bertrand-and-co.-20260407,0.7,0.7,162,0.4136
react_v1,bertrand-and-co.-20260407,0.75,0.7,162,0.4136
react_v1,bertrand-and-co.-20260407,0.8,0.7,162,0.4012
react_v1,bertrand-and-co.-20260407,0.9,0.7,162,0.4012
react_v1,bertrand-and-co.-20260407,1.0,0.7,162,0.4012
react_v1,onedaydynasty-corp-20260406,0.7,0.7,63,0.381
react_v1,onedaydynasty-corp-20260406,0.75,0.7,63,0.381
react_v1,onedaydynasty-corp-20260406,0.8,0.7,63,0.3333
react_v1,onedaydynasty-corp-20260406,0.9,0.7,63,0.3333
react_v1,onedaydynasty-corp-20260406,1.0,0.7,63,0.3333
react_v1,staff-office-the-university-of-cambford-20260407,0.7,0.7,162,0.2284
react_v1,staff-office-the-university-of-cambford-20260407,0.75,0.7,162,0.2284
react_v1,staff-office-the-university-of-cambford-20260407,0.8,0.7,162,0.2284
react_v1,staff-office-the-university-of-cambford-20260407,0.9,0.7,162,0.2284
react_v1,staff-office-the-university-of-cambford-20260407,1.0,0.7,162,0.2284
react_v1,zai-intelligence-20260408,0.7,0.7,201,0.2687
react_v1,zai-intelligence-20260408,0.75,0.7,201,0.2687
react_v1,zai-intelligence-20260408,0.8,0.7,201,0.2637
react_v1,zai-intelligence-20260408,0.9,0.7,201,0.2637
react_v1,zai-intelligence-20260408,1.0,0.7,201,0.2637
react_v2,bertrand-and-co.-20260407,0.7,0.7,162,0.2593
react_v2,bertrand-and-co.-20260407,0.75,0.7,162,0.2593
react_v2,bertrand-and-co.-20260407,0.8,0.7,162,0.2531
react_v2,bertrand-and-co.-20260407,0.9,0.7,162,0.2531
react_v2,bertrand-and-co.-20260407,1.0,0.7,162,0.2531
react_v2,staff-office-the-university-of-cambford-20260407,0.7,0.7,162,0.2222
react_v2,staff-office-the-university-of-cambford-20260407,0.75,0.7,162,0.2222
react_v2,staff-office-the-university-of-cambford-20260407,0.8,0.7,162,0.2222
react_v2,staff-office-the-university-of-cambford-20260407,0.9,0.7,162,0.2222
react_v2,staff-office-the-university-of-cambford-20260407,1.0,0.7,162,0.2222
react_v2,zai-intelligence-20260408,0.7,0.7,201,0.1542
react_v2,zai-intelligence-20260408,0.75,0.7,201,0.1542
react_v2,zai-intelligence-20260408,0.8,0.7,201,0.1393
react_v2,zai-intelligence-20260408,0.9,0.7,201,0.1393
react_v2,zai-intelligence-20260408,1.0,0.7,201,0.1393
researcher,bertrand-and-co.-20260407,0.7,0.7,162,0.4321
researcher,bertrand-and-co.-20260407,0.75,0.7,162,0.4321
researcher,bertrand-and-co.-20260407,0.8,0.7,162,0.4259
researcher,bertrand-and-co.-20260407,0.9,0.7,162,0.4259
researcher,bertrand-and-co.-20260407,1.0,0.7,162,0.4259
researcher,staff-office-the-university-of-cambford-20260407,0.7,0.7,162,0.3457
researcher,staff-office-the-university-of-cambford-20260407,0.75,0.7,162,0.3457
researcher,staff-office-the-university-of-cambford-20260407,0.8,0.7,162,0.3395
researcher,staff-office-the-university-of-cambford-20260407,0.9,0.7,162,0.3395
researcher,staff-office-the-university-of-cambford-20260407,1.0,0.7,162,0.3395
researcher,zai-intelligence-20260408,0.7,0.7,201,0.2886
researcher,zai-intelligence-20260408,0.75,0.7,201,0.2886
researcher,zai-intelligence-20260408,0.8,0.7,201,0.2836
researcher,zai-intelligence-20260408,0.9,0.7,201,0.2836
researcher,zai-intelligence-20260408,1.0,0.7,201,0.2836
baseline,bertrand-and-co.-20260407,0.7,0.7,162,0.3025
baseline,bertrand-and-co.-20260407,0.75,0.7,162,0.3025
baseline,bertrand-and-co.-20260407,0.8,0.7,162,0.3025
baseline,bertrand-and-co.-20260407,0.9,0.7,162,0.3025
baseline,bertrand-and-co.-20260407,1.0,0.7,162,0.3025
baseline,staff-office-the-university-of-cambford-20260407,0.7,0.7,162,0.2222
baseline,staff-office-the-university-of-cambford-20260407,0.75,0.7,162,0.2222
baseline,staff-office-the-university-of-cambford-20260407,0.8,0.7,162,0.1914
baseline,staff-office-the-university-of-cambford-20260407,0.9,0.7,162,0.1914
baseline,staff-office-the-university-of-cambford-20260407,1.0,0.7,162,0.1914
baseline,zai-intelligence-20260408,0.7,0.7,201,0.209
baseline,zai-intelligence-20260408,0.75,0.7,201,0.209
baseline,zai-intelligence-20260408,0.8,0.7,201,0.204
baseline,zai-intelligence-20260408,0.9,0.7,201,0.204
baseline,zai-intelligence-20260408,1.0,0.7,201,0.204
react_v3,bertrand-and-co.-20260407,0.7,0.7,162,0.3951
react_v3,bertrand-and-co.-20260407,0.75,0.7,162,0.3951
react_v3,bertrand-and-co.-20260407,0.8,0.7,162,0.3827
react_v3,bertrand-and-co.-20260407,0.9,0.7,162,0.3827
react_v3,bertrand-and-co.-20260407,1.0,0.7,162,0.3827
react_v3,staff-office-the-university-of-cambford-20260407,0.7,0.7,162,0.2963
react_v3,staff-office-the-university-of-cambford-20260407,0.75,0.7,162,0.2963
react_v3,staff-office-the-university-of-cambford-20260407,0.8,0.7,162,0.284
react_v3,staff-office-the-university-of-cambford-20260407,0.9,0.7,162,0.284
react_v3,staff-office-the-university-of-cambford-20260407,1.0,0.7,162,0.284
react_v3,zai-intelligence-20260408,0.7,0.7,201,0.3632
react_v3,zai-intelligence-20260408,0.75,0.7,201,0.3632
react_v3,zai-intelligence-20260408,0.8,0.7,201,0.3383
react_v3,zai-intelligence-20260408,0.9,0.7,201,0.3383
react_v3,zai-intelligence-20260408,1.0,0.7,201,0.3383
