tool_name,tenant,agent,count
execute_python,bertrand,researcher_agent,11
execute_python,staff,researcher_agent,8
execute_python,zai,researcher_agent,7
read_file,bertrand,react_agent,39
read_file,bertrand,react_agent_v2,51
read_file,bertrand,react_agent_v3,3
read_file,bertrand,researcher_agent,225
read_file,staff,react_agent,17
read_file,staff,react_agent_v2,48
read_file,staff,react_agent_v3,3
read_file,staff,researcher_agent,145
read_file,zai,react_agent,35
read_file,zai,react_agent_v2,45
read_file,zai,react_agent_v3,5
read_file,zai,researcher_agent,141
search_channel,zai,react_agent,1
search_channel,zai,react_agent_v2,1
search_chat,bertrand,react_agent,3
search_chat,bertrand,react_agent_v2,2
search_chat,bertrand,react_agent_v3,5
search_chat,bertrand,researcher_agent,44
search_chat,staff,react_agent,4
search_chat,staff,react_agent_v2,2
search_chat,staff,react_agent_v3,1
search_chat,staff,researcher_agent,52
search_chat,zai,react_agent,9
search_chat,zai,react_agent_v2,7
search_chat,zai,react_agent_v3,6
search_chat,zai,researcher_agent,83
search_email,bertrand,react_agent,129
search_email,bertrand,react_agent_v2,128
search_email,bertrand,react_agent_v3,102
search_email,bertrand,researcher_agent,138
search_email,staff,react_agent,144
search_email,staff,react_agent_v2,150
search_email,staff,react_agent_v3,108
search_email,staff,researcher_agent,178
search_email,zai,react_agent,150
search_email,zai,react_agent_v2,148
search_email,zai,react_agent_v3,114
search_email,zai,researcher_agent,188
search_file,bertrand,react_agent,37
search_file,bertrand,react_agent_v2,38
search_file,bertrand,react_agent_v3,48
search_file,bertrand,researcher_agent,97
search_file,staff,react_agent,21
search_file,staff,react_agent_v2,28
search_file,staff,react_agent_v3,50
search_file,staff,researcher_agent,47
search_file,zai,react_agent,37
search_file,zai,react_agent_v2,36
search_file,zai,react_agent_v3,57
search_file,zai,researcher_agent,62
search_group_chat,bertrand,react_agent,6
search_group_chat,bertrand,react_agent_v2,7
search_group_chat,bertrand,react_agent_v3,3
search_group_chat,staff,react_agent,1
search_group_chat,staff,react_agent_v2,2
search_group_chat,staff,react_agent_v3,2
search_group_chat,zai,react_agent,8
search_group_chat,zai,react_agent_v2,4
search_group_chat,zai,react_agent_v3,4
search_group_chat,zai,researcher_agent,1
search_in_file,bertrand,react_agent_v2,2
search_in_file,bertrand,researcher_agent,10
search_in_file,staff,react_agent,1
search_in_file,staff,researcher_agent,1
search_in_file,zai,react_agent,5
search_in_file,zai,react_agent_v2,3
search_in_file,zai,researcher_agent,3
search_meeting,bertrand,react_agent,24
search_meeting,bertrand,react_agent_v2,26
search_meeting,bertrand,react_agent_v3,19
search_meeting,bertrand,researcher_agent,82
search_meeting,staff,react_agent,16
search_meeting,staff,react_agent_v2,16
search_meeting,staff,react_agent_v3,25
search_meeting,staff,researcher_agent,78
search_meeting,zai,react_agent,47
search_meeting,zai,react_agent_v2,47
search_meeting,zai,react_agent_v3,63
search_meeting,zai,researcher_agent,134
search_people,bertrand,react_agent,17
search_people,bertrand,react_agent_v2,20
search_people,bertrand,react_agent_v3,5
search_people,bertrand,researcher_agent,132
search_people,staff,react_agent,27
search_people,staff,react_agent_v2,32
search_people,staff,react_agent_v3,6
search_people,staff,researcher_agent,141
search_people,zai,react_agent,40
search_people,zai,react_agent_v2,44
search_people,zai,react_agent_v3,17
search_people,zai,researcher_agent,183
